,2.5%ile,97.5%ile,groupsize,neighbour_detection_angle
0,-171.01069999999999,168.4634325,5,339.4741325
1,-167.4210225,168.795225,10,336.2162475
2,-142.3022,143.73035,30,286.03255
3,-120.53705,116.95924000000002,50,237.49629000000002
4,-103.3255475,104.28811499999995,75,207.61366249999995
5,-96.1546125,94.58064999999999,100,190.73526249999998
6,-18.340545,16.758344999999995,200,35.09889
