,ci_has_zero,ci_above_zero,ci_below_zero,perm_pvalue,difference,perm_pvalue_signif,bca_low,bca_high,measurement,interval
0,False,False,True,0.007,-2.705999999999996,True,-3.9319999999999986,-0.39599999999999724,cf_duration,clustered
0,True,False,False,0.0876,0.17400000000000015,False,-0.17399999999999993,0.39800000000000013,tfm_duration,clustered
0,True,False,False,0.6942,-0.062000000000000055,False,-0.30799999999999983,0.19999999999999996,ifm_duration,clustered
0,False,False,True,0.0016,-2.3174393374524698,True,-3.507238136188036,-0.6247747249600479,cf_peak_frequency,clustered
0,True,False,False,0.8906,-0.15450615458942707,False,-2.177811526551011,2.255289614526859,tfm_terminal_frequency,clustered
0,True,False,False,0.4636,0.7818119273227779,False,-2.517276997121286,2.5425026517471423,ifm_terminal_frequency,clustered
0,True,False,False,0.224,-1.3609648234634086,False,-3.446202860771592,0.5119469125562084,cf_dbrms,clustered
0,True,False,False,0.0746,-2.2240330438671805,False,-4.268171468220672,1.1814308579185848,tfm_dbrms,clustered
0,True,False,False,0.937,-0.0005090512896117616,False,-3.185962134396796,3.1344398601088557,ifm_dbrms,clustered
0,True,False,False,0.1556,-1.2404787925661154,False,-2.119121462093366,0.4289509401328111,tfm-cf_dbratio,clustered
0,True,False,False,0.3474,0.4721712541893419,False,-0.5133592283556903,1.9081909876026169,ifm-cf_dbratio,clustered
0,True,False,False,0.4322,1.0646571432347898,False,-1.0373601595526711,3.595137416319311,tfm_bw,clustered
0,True,False,False,0.9374,-0.1008093042353071,False,-2.956737465032747,2.896562630760295,ifm_bw,clustered
