,ci_has_zero,ci_above_zero,ci_below_zero,perm_pvalue,difference,perm_pvalue_signif,bca_low,bca_high,measurement
0,False,False,True,0.0026,-2.9480000000000004,True,-4.123999999999999,-0.9380000000000024,cf_duration
0,True,False,False,0.1596,0.14000000000000012,False,-0.20800000000000018,0.3680000000000001,tfm_duration
0,True,False,False,0.705,-0.038000000000000034,False,-0.21999999999999997,0.238,ifm_duration
0,True,False,False,0.17550000000000002,-1.001560035686424,False,-3.1266793834196704,0.703160700083501,cf_peak_frequency
0,True,False,False,0.2904,-1.0316038641161782,False,-3.0420353982300696,0.6119561934735316,tfm_terminal_frequency
0,True,False,False,0.2438,1.0683760683760823,False,-2.4534495935524347,2.887697579308096,ifm_terminal_frequency
0,True,False,False,0.2,-1.4765186048531938,False,-3.4911954691702682,0.03600853454631192,cf_dbrms
0,True,False,False,0.0092,-3.153248422015423,True,-5.0472395645454355,0.0019476624413954369,tfm_dbrms
0,True,False,False,0.3178,-1.6636142175697017,False,-4.173425764453164,1.235931283200756,ifm_dbrms
0,True,False,False,0.1606,-1.0753830405038451,False,-1.846299046240981,0.691910681278558,tfm-cf_dbratio
0,True,False,False,0.7528,0.24690344863959357,False,-0.7819047169646556,1.6851671600305398,ifm-cf_dbratio
0,True,False,False,0.1206,1.8263965307136107,False,-0.12175787940378413,3.9938545279491215,tfm_bw
0,True,False,False,0.8244,0.2730557185073703,False,-2.548484627374317,2.999721406963289,ifm_bw
