,Unnamed: 0,ifm_start,ifm_peak_freq_resolution,ifm_terminal_frequency,ifm_duration,ifm_peak_frequency,ifm_rms,ifm_stop,ifm_peak_amplitude,ifm_region_id,cf_start,cf_peak_freq_resolution,cf_terminal_frequency,cf_duration,cf_peak_frequency,cf_rms,cf_stop,cf_peak_amplitude,cf_region_id,tfm_start,tfm_peak_freq_resolution,tfm_terminal_frequency,tfm_duration,tfm_peak_frequency,tfm_rms,tfm_stop,tfm_peak_amplitude,tfm_region_id,audio_file,terminal_frequency_threshold,video_annot_id,num_bats,0,duration,peak_freq_resolution,ifm-cf_dbratio,tfm-cf_dbratio,ifm-peak_db,tfm-peak_db,tfm_dbrms,ifm_dbrms,cf_dbrms,cf-peak_db,ifm_rmsdb,tfm_rmsdb,cf_rmsdb,ifm_bw,tfm_bw,annot_end_time,annot_start_time,posix_end_time,posix_start_time,groupsize
0,13,0.000892,1404.4943820224719,91.5492957746479,1.42,102112.67605633805,0.014604191647460378,0.0023120000000000003,0.03216552734375,fm1,0.0023120000000000003,138.50415512465375,102798.55915766141,14.436,102.79855915766142,0.030730190310537118,0.016748,0.053802490234375,cf1,0.016748,992.0634920634919,85.98409542743539,2.012,101391.65009940356,0.01681463894727106,0.01876,0.033782958984375,fm2,segment_matching_annotaudio_Aditya_2018-08-16_21502300_30_hp,-10,Aditya_2018-08-16_21502300_30,1,,,,-8.868356494433883,-5.532787100319699,-30.171124540236352,-24.724788447166453,-32.53869444681679,-35.87426384093098,-27.005907346497093,-21.60166856694113,-36.710449530759,-35.4862490729534,-30.248695003424217,11.249263383013517,16.814463730226024,2018-08-16 22:31:51,2018-08-16 22:31:50,1534451511.0,1534451510.0,single
1,21,0.000608,3164.556962025317,101.91082802547768,0.628,105095.54140127386,0.008723634349431615,0.001236,0.017303466796875,fm1,0.001236,107.7121930202499,107519.93104934283,18.564,107.57379875026935,0.033304713088400266,0.0198,0.0653076171875,cf1,0.0198,1543.20987654321,100.1552795031056,1.288,105590.06211180126,0.026200110021734647,0.021088,0.06005859375,fm2,segment_matching_annotaudio_Aditya_2018-08-16_21502300_62_hp,-10,Aditya_2018-08-16_21502300_62,1,,,,-7.147030704579384,-15.791689037912548,-18.830689890763345,-27.41751454700203,-33.637637041164496,-24.99297870783133,-17.845948003251948,-10.240649795150484,-41.18605092273826,-31.633937699000573,-29.54988606654165,5.662970724791667,7.418519247163742,2018-08-16 22:44:46,2018-08-16 22:44:42,1534452286.0,1534452282.0,single
2,70,0.000976,2118.64406779661,98.29059829059828,0.9359999999999999,103632.47863247864,0.02093708775352078,0.001912,0.041290283203125,fm1,0.001912,44.81893151667264,105051.99928276852,44.616,105.09682625067241,0.05795761989844232,0.046528,0.1185302734375,cf1,0.046528,2777.777777777778,95.50561797752806,0.712,103932.58426966293,0.02183422086150021,0.04724,0.0389404296875,fm2,segment_matching_annotaudio_Aditya_2018-08-16_2324_85_hp,-10,Aditya_2018-08-16_2324_85,1,,,,1.6171775140625937,-0.554861869350464,-16.669709519300696,-17.264071879127894,-24.64231299626784,-22.470273612854786,-24.087451126917383,-18.67910785337637,-33.58167453388243,-33.21724601906017,-24.737789153526215,6.806227960074117,9.591208273144337,2018-08-16 23:11:31,2018-08-16 23:11:27,1534453891.0,1534453887.0,single
3,27,0.000376,1213.5922330097087,93.67396593673966,1.6440000000000001,102798.05352798056,0.014983022709153613,0.00202,0.032379150390625,fm1,0.00202,112.66336187471836,103955.3752535497,17.748,104.18075276087447,0.034556579707278344,0.019768,0.067413330078125,cf1,0.019768,1524.3902439024396,88.95705521472395,1.3039999999999998,104294.47852760737,0.011190597907004676,0.021072,0.022308349609375,fm2,segment_matching_annotaudio_Aditya_2018-08-16_2324_117_hp,-10,Aditya_2018-08-16_2324_117,1,,,,-11.636164856196613,-2.084051632458923,-35.23733752133623,-24.42849681728791,-31.63393769900057,-41.186050922738254,-29.54988606654165,-23.700723232210546,-36.488011244775464,-39.022934175106364,-29.229384981133553,10.506786824134805,15.223697546150522,2018-08-16 23:24:11,2018-08-16 23:24:10,1534454651.0,1534454650.0,single
4,28,0.001084,1388.888888888889,95.40389972144847,1.436,100974.930362117,0.008261762819474256,0.00252,0.017181396484375,fm1,0.00252,61.050061050061046,102405.95994137763,32.752,102.52808988764043,0.023497151421015248,0.035272000000000005,0.047760009765625,cf1,0.035272000000000005,1329.7872340425529,92.66666666666666,1.5,98666.66666666666,0.015182436085750763,0.036772000000000006,0.041473388671875,fm2,segment_matching_annotaudio_Aditya_2018-08-16_2324_128_hp,-10,Aditya_2018-08-16_2324_128,1,,,,-7.226897938190026,-8.116589726578866,-35.283416619527515,-35.51755181019252,-43.16510948822749,-42.27541769983865,-35.04851976164862,-26.21032825211146,-41.65854554006228,-36.37317076944858,-32.5796956882844,7.124190166191955,9.861423220973768,2018-08-16 23:29:31,2018-08-16 23:29:30,1534454971.0,1534454970.0,single
5,30,0.001032,2272.7272727272725,98.17351598173515,0.8759999999999999,103881.2785388128,0.014603335769127075,0.001908,0.026397705078125,fm1,0.001908,127.74655084312724,105253.06748466259,15.647999999999998,105.31697341513294,0.034660496366247295,0.017556,0.069549560546875,cf1,0.017556,2358.490566037736,98.80952380952384,0.8400000000000001,103571.42857142858,0.01940599468520453,0.018396,0.0435791015625,fm2,segment_matching_annotaudio_Aditya_2018-08-16_2324_143_hp,-10,Aditya_2018-08-16_2324_143,1,,,,-8.991334879289033,-4.605207488600165,-28.117427761106626,-23.440826823117213,-28.4043340146647,-32.79046140535357,-23.79912652606453,-17.511303860868274,-36.710958582048605,-34.24128183794411,-29.20330444261016,7.14345743339778,6.507449605609101,2018-08-16 23:31:22,2018-08-16 23:31:20,1534455082.0,1534455080.0,single
6,53,0.0003,2032.520325203252,101.4344262295082,0.976,104508.19672131148,0.024099640380277308,0.001276,0.054229736328125,fm1,0.001276,89.60573476702507,106829.18085678435,22.316,107.00842444882596,0.05154493931180189,0.023592,0.105072021484375,cf1,0.023592,2717.391304347826,103.02197802197806,0.728,104395.60439560443,0.012148026398791941,0.02432,0.0269775390625,fm2,segment_matching_annotaudio_Aditya_2018-08-16_2324_248_hp,-10,Aditya_2018-08-16_2324_248,1,,,,-6.538973030791907,-8.170953354195778,-17.64367047608587,-18.443277358785213,-25.659099079339075,-24.027118755935213,-17.4881457251433,-12.036959704611212,-32.35978876014282,-38.309885459808385,-25.75627934741418,5.573998219317756,3.986446426847906,2018-08-16 23:50:02,2018-08-16 23:50:01,1534456202.0,1534456201.0,single
7,59,,,,,,,,,,0.001212,75.94167679222356,106106.63831080057,26.332,106.25854473644236,0.03561529779960817,0.027544,0.070556640625,cf1,0.027544,980.3921568627452,90.86444007858547,2.036,103143.4184675835,0.007877647803906051,0.02958,0.01971435546875,fm1,segment_matching_annotaudio_Aditya_2018-08-16_2324_280_hp,-10,Aditya_2018-08-16_2324_280,1,,,,-5.228323418007534,-0.06435781012739097,-24.75223203915341,-18.572753310326842,-25.812599538097004,-30.976565145977144,-25.74824172796961,-20.068659309271823,,-42.072068793054214,-28.96726839845853,,15.394104657856893,2018-08-16 23:55:48,2018-08-16 23:55:47,1534456548.0,1534456547.0,single
8,60,0.000188,1562.5,94.82758620689657,1.276,100313.47962382443,0.006863436671602025,0.001464,0.0157470703125,fm1,0.001464,132.20518244315178,103306.87830687832,15.119999999999996,103.43915343915344,0.019580073130694958,0.016584,0.037841796875,cf1,0.016584,1121.0762331838564,98.31460674157306,1.7799999999999998,102247.19101123596,0.007612595620686772,0.018364,0.02105712890625,fm2,segment_matching_annotaudio_Aditya_2018-08-16_2324_285_hp,-10,Aditya_2018-08-16_2324_285,1,,,,-7.207903277719549,-6.928979797158758,-26.402077532225967,-26.407618769822555,-31.902356797645346,-32.18128027820614,-24.97337700048659,-19.557653556140853,-43.26916738329925,-42.3693447843221,-34.163713809188806,8.611567232256872,5.124546697580387,2018-08-16 23:56:52,2018-08-16 23:56:49,1534456612.0,1534456609.0,single
9,61,0.000392,,94.98480243161096,,107902.73556231004,0.03376759690533505,0.001708,0.069427490234375,fm1,0.001708,,109274.60263780858,,109.31687521136287,0.08648111176459737,0.025364,0.168365478515625,cf1,0.025364,,104.10334346504561,,106382.97872340426,0.05259042821115992,0.02668,0.12420654296875,fm2,segment_matching_annotaudio_Aditya_2018-08-16_2324_287_hp,-10,Aditya_2018-08-16_2324_287,1,,0.001316,1515.1515151515152,-7.460497658739406,-6.802281880143719,-19.805510142488924,-20.015387816694727,-25.1736523560816,-25.83186813467729,-18.37137047593788,-13.214378354915516,-29.42999690271236,-25.58186585964387,-21.261574718253513,14.332072779751922,5.213531746317269,2018-08-16 23:58:07,2018-08-16 23:58:07,1534456687.0,1534456687.0,single
